id,sentence
1004370,si tzap si phinn sin ho lang jin bo beh tau sen uann tsi it ma ma e kam tong
1030921,"ho, ho, ho lah ah liau guai lan to bain tsit su ho lah mai hau hong guai"
1036233, kam kiap khi lai nga e u tang bo a iu tshiu guan ai khuai lo e guan in m si tso sionn mi tai tsi
1053413,ting ki si kan kau a tak e kin khi hau ki sik sun bi ting ki jin tsing ai sing tshuan ho hoo tsiau ka ting ki tsing tsiau sun si pai tui kiam tsa liau tsiat lai ting ki
1066279, thau oh si tian hng e kak thau
1076059,tianng tianng rog lo phi tshan te
1085019,nai tsia pai ti hong
1089024,bo lun bian si ia tian tai tak e siah siah ku ku kang siah ui tai e bu tsin tak e lou su iau
1111299, khan tsing li tsip tsiong ka siau lian ke khuan khuan leh ta kong siau lian leh li tsa ian bo gua ian tsiah tsa liah bian tsin e
1160376,bo ka li phen 3M e tshai kue po si tsai u kau ho yong e lah na sun kong li u su iau hong e tang ui gua tsiah the kui te a tng khi lu khuann mai
1171103, gua khuann tioh ti a
1177083,i khi lai min kiann kai ho tau bian gua ku to tau e ho
1211950, an ne bin a tse kam kam khuan si tsit liap tsit kak gin nang liap nang kak gin sann liap tsia bian tsinn leh u lang an ne mng
1255001, iau m koh taiwan den iah si gua e se mia bo lun an tsuah gua ing wan long be hong khi
1271619,thau ke ah m thang lah
1306224, ti hiah khuann e lang ia si sam sam ngong oo tshin tshin tsng tsng
1329910,tak ke long kau bat lan lai ki tsing siann hing tsing tsia
1342564, Bu ah li khuann leh tsiok sui tsiok koo tsui e iu tso neh lam beh ti jit su lah tsao gin ah ki tui in po le tuu lai te
1368861,tui bt tsu lah gua m zai to loh te sit tio li hong soo phue ah tsianng se ji an ne ka gin
1375027, sau i gua bai kai te kau
1381403,tsu hong le tang pai thik sin lo ai si khi in thau lo e lang kong tai gi
1400685, eh a tsia lung koh ting ting khi lai
1410593,li kong le
1413971,sua ting long ta bu te bong bong siah mi long khuann bo
1583587, Tsen pak lah si gun a kong khat tsa siong ai khuann e hi
