id,sentence
1004370,si ka si phinn sin ho lam jin bo beh tau se huann ji i gah na e kam kong
1030921,ho ho ho lah a liau kuai lan to bian tsit su ho lah mai hau honnh kuai
1036233,kan ka khi lai na e u kam poh a iu tshiu guan lai khuann lo e guan in m si tso sio mih tai tsi
1053413,ting ki si kang kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279, phah ooh si tian hng e ka khau
1076059,tiang tiann ho bo khi tshan te
1085019, जा tsia lai hinn ooh
1089024, ng bo lun ian si ia tian tai tak ke sia sia ku ku kam sia ui tai e bu tshin tak ke long su iau
1111299,han tsinn li jin tsiunn ka siau e ke kuann huann e ka kong siau lian e li kai iann bo gua e inn a tsiah tsua e bian tsinn e
1160376,bo ka li phian 3M e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti a
1177083, इ khi ah e mih khiann kai ho tau bian gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
1255001,iau m koh tai uan lian lian iann si gua e senn mia bo lun an tsuann gua ing uan long be hong hi
1271619, thau khi ah m thang lah
1306224,ti hia khuann e lang iah si sam sam goo ngoo ngoo tshinn tshinn tsng tsng
1329910,tak ke long kau ah lan lai lai jin tsinn sann hinn tsinn tshia
1342564,bu a li khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tui put tsu lah gua m tsai to loh tit sit tioh li honnh soo peh a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong te tang pai tshik sin lo ah si khi in thau loo e lang kong tai i
1400685, e a tsa long koh tin kian khi lai
1410593, li ku he
1413971,sua ping long tah bu te bo mua siann mih long khuann bo
1583587,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu tit tioh sing li
1616700,ngu khuann be tshut lai gua sia e tso bun si to tsit tiam bo ho
1669485, sit le ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797, က
1722532,bo lun lu ho li gua i ging tsit tui ho tsing huann
1724838, කට ක� m gun lang tsan e phio kun ka Galeh koo i jin ui tsi nu si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann ioh
1872917, उन्रदे nooh e phah tsiat long si ke kin bun bo siok gua tse
1900349,na si AB tiann tiann sing tui tshut hian m koh a au piah e tsiap B i gua e su B thau tsing ma kho ling e tsiap a i gua e su
1906111, khah hoo hiann a hoo ua khah lau gua
1950482,guaṋ tsiunn hi kan kan e be tshoo ka suan iong
1952173, ngai an ne gua lai bo tsi to ka lang hngh
1967937, tsit uann png bing bing
2060315,u lang ti leh bo u lang ti leh bo ah
2103803,koh sann tso sinn hia put
2307601,beh hiong ing un kah ang hoo thong e si tsun li iong sia e gi su kau tsu tsit ku lan nia tso e thong e ian bu bu m koh kong ing i e lang ko ling sah hoo niau a mng
2324957,m hai ang tai i gun ha gueh khan te ji pah khong ji ki
2330115, जिस phoo tsa se e e piok pah poe li huann sat an lai u tu li e ni koo
2386584, mh
2394564,gun kiann tshiang SSS L e kann mih tsai hoo gun tsi tshing
2445369,long si tsit e tua khoo tai tsiah ka gua senn tsit e khong khiann
2501234,gua e ka a kong tshua lai khi tshai tshi a
2548825,kin lai khue hiau an tsuann
2596748,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li
2600889, जाg gi lai hong hiong
2609074,eh ooh ta khau khuai ni boo boo penn eh
2619738,hann lai tshu huainn tsuan i hann hong e tsong hoo sat tun mua king
2666049,a lin peh a m ho ah lah lin tsa boo kiann ui tshinn a tsang ting puah loh lai
2686359,�� oo a tsit e kua nng honnh koh khah ting khah kuan leh
2708885,lian oh e i hia si si su tsuh si be kong siannh
2714733,moo koo ni tsue koo hun kau ah hun kong ai bian lai koo ue li tsit ma si siang hai too ah
2726055,lin thio ai khun hun hoo pah
2738050,hai kong ma he
2767681,lin kiann oh kong kia u si ge jit tsiu siu gua si kau mah koh ka lin koo giah kah khuann nng i gioh sik thang kuah lah
2769096,li iong i e kua siann kah hian a bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
2791411,ma gua sit le
2796616,Sah leh lai beh lai siau khai be ling gi e an tsuan siat i to siam mng li be ling gi e nng bing sam tsoo am li khau khak king hiu sing i li i a kha
2852459,hau thiunn siann mih tat tsinn
2861550,いってん ai e ah
2863047, sat bak a tu liau au tshi i gua tu siann mih ke siap
2897804, e sai kian hinn a sinn ni sai
2919291,lau hiann ti ah puann loh koh puann loh khi ah hm hngh hong kuah se siann
2931209,koh hit tsam bi tsit tsun ji tsi ke lua hing hok leh
2995543,long hoo se hong ui ke khu tsu si si tsing han ui gua tsing sik khue loo bi tsit king e piau hian
3018066, කව──kiat hua tui khong ooh kio hi si si ji ko tsing i ka ti tsing ka ku ka e huan lik
