id,sentence
1004370,si tsap sin phinn sin ha lam jin bo beh tau se uann tsi it ma na e kam tong
1030921,ho ho ho lah a biau kuai lan to penn tsit su ho lah mai hau honnh kuai
1036233,kam kak khi lai na e u tam poh a iu tshiu guan lai khuann loo e guan in m si tso sio mih tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan kho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,tha looh si tian hng e kak thau
1076059,tiann tiann gioh bo khi tshan te
1085019,lai tsia lai khi honnh
1089024,bo lun pian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshin tak ke long su iau
1111299,han tsing li tsin tsiong ka siau lian ke khuann khuann leh ka kong siau lian leh li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
1160376,bo ka li phianThree m e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti يah
1177083,Ikea e mih kiann kai ho thau lin gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing an long be hong khi
1271619,thau ke ah m thang lah
1306224,ti hia khuann e lang iah si sam sam ngoo ngoo tshinnh tshinnh tsng tsng
1329910,tak ke long kau lah lan lai khi thing tshah niu tsiunn tshia
1342564,bu a li khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tui put tsu lah gua m tsai to loh li sit tioh li honnh soo pe a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong be tang pai thik sin to ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long koh ting ting khi lai
1410593,li kong leh
1413971,sua ting long tah bu te bo bong siann mih long khuann bo
1583587,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu tit tioh sing li
1616700,ng khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485,sit e ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,ho
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
1724838,Snares sin bun bang tsng e khik liong ka thin liau Bouie gin u tsiunn si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann tioh
1872917,tsiok tian loo e phah tsiat long si ke kin pun bo siunn gua tse
1900349,na si AB tiann tiann sing tui tshut hian m koh a au piah e tsiap B i gua e su B thau tsing ma kho ling e tsiap a i gua e su
1906111,thiann kong gin a lang koo u a khah gau gau
1950482,pun tsiunn si kan tan e pe tshok ka suan iong
1952173,mai an ne bo lai bo ji to ta lang phng
1967937,tsit uann png ling ling
2060315,u lang ti leh bo u lang ti leh bo ah
2103803,koh sann tso si hioh khun
2307601,me iong ing bun kah lang koo tong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau a mng
2324957,hai ang tai i bun hap gueh khan te tsit pah khong ji ki
2330115,tsiat khoo tsuan se ka tiong pang to tik bin khuann tshat kan lai u tu li e ing hiong
2386584,mh
2394564,gun kiann tshing XXL e kam e sai hoo gun tshi tshing
2445369,long si li tsit e tua hoo tai tsiah ka gua senn tsit e khong kiann
2501234,gua e ka a kong tshua lai khi tshai tshi a
2548825,kin lai kue liau an tsuann
2596748,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li
2600889,giak bi lai hong hiong
2609074,eh tsau kah khuann ni bo hong pian
2619738,phann tai tshu huai tsuan ki thann hong te tsong goo sat kong guat hing
2666049,a lin pe a m ho ah lah lin tsa boo kiann ui tshinn a tsang ting puah loh lai
2686359,──au tsit e tua mng honnh koh ka ting khah kuan leh
